Name,Latitude,Longitude,Elevation,Prominence,Isolation,State,Counties,Quad,Completed,Id
5275,39.5813,-119.4877,5275,436,3.53,NV,Washoe,Derby Dam,no,47336
5273,40.039,-119.4785,5273,333,2.2,NV,Washoe,Dove Creek,no,47338
5254,40.2516,-119.5305,5254,394,2.12,NV,Washoe,Fox Canyon,no,47363
5226,39.8367,-119.7351,5226,368,2.96,NV,Washoe,Fraser Flat,no,47391
5223,39.9457,-119.2828,5223,643,3.05,NV,Washoe,Russell Peak,no,47394
5217,40.2218,-119.7501,5217,347,1.05,NV,Washoe,The Needle Rocks,no,47405
5204,40.2331,-119.671,5204,734,3.2,NV,Washoe,The Needle Rocks,no,47411
Kimberly Hill,39.7935,-119.6852,5095,584,1.66,NV,Washoe,Fraser Flat,no,47503
5088,39.5804,-119.7588,5088,326,2.14,NV,Washoe,Reno,no,47512
Jackass Peak,39.8845,-119.5614,5075,663,2.81,NV,Washoe,Sutcliffe,no,47521
5068,39.9018,-119.6171,5068,459,1.09,NV,Washoe,Sutcliffe,no,47529
5047,40.9691,-119.3571,5047,457,4.62,NV,Washoe,Hualapai Flat North,no,47554
5032,40.2729,-119.6733,5032,302,2.76,NV,Washoe,Emerson Pass,no,47567
5028,40.9974,-119.3998,5028,328,2.97,NV,Washoe,Melody Mountain,no,47572
Rattlesnake Mountain,39.4723,-119.7581,5011,541,3.09,NV,Washoe,Mount Rose NE,no,47588
4972,40.3622,-119.8492,4972,342,3.84,NV,Washoe,Sand Pass,no,47625
4911,39.8593,-119.6472,4911,400,3.35,NV,Washoe,Fraser Flat,no,47680
4910,39.4752,-119.7273,4910,380,1.54,NV,Washoe,Steamboat,no,47682
4903,40.2958,-119.7008,4903,893,2.15,NV,Washoe,Emerson Pass,no,47688
4885,39.9275,-119.3107,4885,385,1.94,NV,Washoe,Russell Peak,no,47702
4879,40.2929,-119.6648,4879,309,1.45,NV,Washoe,Emerson Pass,no,47710
4874,40.4379,-119.8724,4874,364,3.3,NV,Washoe,Sheepshead Spring,no,47716
4839,39.877,-119.6385,4839,361,1.31,NV,Washoe,Tule Peak,no,47744
4717,39.8711,-119.6158,4717,305,1.27,NV,Washoe,Moses Rock,no,47829
4694,40.3849,-119.8378,4694,319,1.68,NV,Washoe,Sheepshead Spring,no,47841
Marble Bluff,39.8734,-119.3842,4625,525,5.41,NV,Washoe,Pah Rah Mountain,no,47881
Godeys Rock,40.6348,-119.4286,4623,605,4.23,NV,Washoe,Godeys Rock,no,47882
Falcon Hill,40.3214,-119.35,4611,351,1.83,NV,Washoe,Purgatory Peak,no,47887
Never Sweat Hills,40.1664,-119.824,4551,321,1.54,NV,Washoe,Astor Pass,no,47923
4545,40.1723,-119.7563,4545,315,2.72,NV,Washoe,Astor Pass,no,47927
Anaho Island,39.9514,-119.5139,4376,581,2.88,NV,Washoe,Sutcliffe,no,48006
Pyramid The,39.9803,-119.5021,4153,359,2.09,NV,Washoe,Sutcliffe,no,48089
